id,date,value,optin,giftaid,appeal,platform,sourcecode,campaign,source,medium,creative,audience,warm
4BD20483MP423381P,25/07/2020 14:05,50.0,False,False,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Video_DEC - Generic Video,Women_35-44_45-54_55 Plus,
0TJ18025AV302361S,25/07/2020 14:03,10.0,True,False,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Instagram,Social Post,Donate Landing_DEC appeal IG stories,BRC Followers,
89R4789663832803M,25/07/2020 14:03,25.0,False,False,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Image_DEC Hero Image Donate,Women_35-44_45-54_55 Plus,
17603209LF130011C,25/07/2020 13:36,25.0,False,False,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Video_DEC - Generic Video,Women_35-44_45-54_55 Plus,
7WT89156K0344344S,25/07/2020 13:31,25.0,False,True,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Video_DEC - Generic Video,Men_35-44_45-54_55 Plus,
ICC18070179954,25/07/2020 13:03,2.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC18070171722,25/07/2020 13:00,100.0,False,True,National Emergencies Trust Coronavirus Appeal,WorldPay,170463,,,,,,
ICC19069877513,25/07/2020 12:57,30.0,True,False,Yemen Crisis Appeal,WorldPay,170460,Yemen Crisis Appeal,google,cpc,generic,yemen emergency appeal,
ICC14205377485,25/07/2020 12:57,50.0,False,True,UK Coronavirus Response,WorldPay,170460,Kindness Will Keep Us Together,google,cpc,brand,pure brand,
ICC18070094476,25/07/2020 12:34,30.0,,True,Global Coronavirus Appeal,WorldPay,169025,UK Fund Appeal,Salesforce,Email,Donate_SendNumber5_Donate Norman_Mega Button_Donate,Emergency NonDonors,OptInNotReshown
ICC18070068602,25/07/2020 12:24,50.0,True,True,UK Coronavirus Response,WorldPay,170460,Kindness Will Keep Us Together,google,cpc,brand,pure brand,
2FR50210GB224372E,25/07/2020 12:09,10.0,False,False,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Video_DEC - Generic Video,Women_35-44_45-54_55 Plus,
0B226855D2133192P,25/07/2020 11:58,5.0,False,False,UK Coronavirus Response,Paypal,170463,,,,,,
0P506632E3131894V,25/07/2020 11:52,4.81,False,False,UK Coronavirus Response,Paypal,170463,,,,,,
ICC19069684489,25/07/2020 11:49,25.0,False,True,Yemen Crisis Appeal,WorldPay,170463,,,,,,
ICC18069956084,25/07/2020 11:43,50.0,False,True,UK Coronavirus Response,WorldPay,170463,,,,,,
2AF08309CS655563F,25/07/2020 11:40,25.0,,True,Global Coronavirus Appeal,Paypal,173447,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
38L25321YH997911S,25/07/2020 11:34,30.0,False,True,UK Coronavirus Response,Paypal,170463,,,,,,
ICC14205148789,25/07/2020 11:34,20.0,,True,Global Coronavirus Appeal,WorldPay,173447,Global Coronavirus Appeal,Salesforce,Email,Donate_SendNumber2_DEC Email 2 openers_Mega Button_DONATE NOW,Emergency Donors,OptInNotReshown
ICC18069905066,25/07/2020 11:24,50.0,False,True,Global Coronavirus Appeal,WorldPay,170463,,,,,,
41U7195148732854V,25/07/2020 11:14,10.0,False,True,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Carousel_DEC_Carousel_Video,Website Traffic,
ICC19069583751,25/07/2020 11:13,15.0,False,True,Yemen Crisis Appeal,WorldPay,170463,Yemen Crisis Appeal,,,,,
ICC19069536163,25/07/2020 10:56,50.0,False,True,UK Coronavirus Response,WorldPay,170459,Kindness Will Keep Us Together,bing,cpc,brand,pure brand,
9CH62379XF6263606,25/07/2020 10:50,50.0,False,False,Global Coronavirus Appeal,Paypal,170464,Global Coronavirus Appeal,Facebook,Social Ad,Donate Landing_Carousel_DEC_Carousel_Video,Website Traffic,
ICC19069461232,25/07/2020 10:28,40.0,True,True,UK Coronavirus Response,WorldPay,170463,,,,,,
ICC19069462212,25/07/2020 10:28,100.0,False,True,UK Coronavirus Response,WorldPay,170458,UK Fund Appeal,Homepage Herobox,Internal,Donate Landing_Homepage summer 2020,BRC Site,
